file,base,total_verse_lines,with_expected_block_id,with_any_block_id,missing_block_id
ezekiel/ezekiel-26.md,ezekiel-26,21,21,21,0
ezekiel/ezekiel-12.md,ezekiel-12,28,28,28,0
ezekiel/ezekiel-43.md,ezekiel-43,27,27,27,0
ezekiel/ezekiel-02.md,ezekiel-02,10,10,10,0
ezekiel/ezekiel-36.md,ezekiel-36,37,37,37,0
ezekiel/ezekiel-47.md,ezekiel-47,23,23,23,0
ezekiel/ezekiel-16.md,ezekiel-16,62,62,62,0
ezekiel/ezekiel-22.md,ezekiel-22,31,31,31,0
ezekiel/ezekiel-32.md,ezekiel-32,32,32,32,0
ezekiel/ezekiel-06.md,ezekiel-06,14,14,14,0
ezekiel/ezekiel-46.md,ezekiel-46,24,24,24,0
ezekiel/ezekiel-17.md,ezekiel-17,24,24,24,0
ezekiel/ezekiel-23.md,ezekiel-23,49,49,49,0
ezekiel/ezekiel-33.md,ezekiel-33,33,33,33,0
ezekiel/ezekiel-07.md,ezekiel-07,27,27,27,0
ezekiel/ezekiel-27.md,ezekiel-27,36,36,36,0
ezekiel/ezekiel-13.md,ezekiel-13,22,22,22,0
ezekiel/ezekiel-42.md,ezekiel-42,19,19,19,0
ezekiel/ezekiel-03.md,ezekiel-03,27,27,27,0
ezekiel/ezekiel-37.md,ezekiel-37,28,28,28,0
ezekiel/ezekiel-14.md,ezekiel-14,23,23,23,0
ezekiel/ezekiel-45.md,ezekiel-45,25,25,25,0
ezekiel/ezekiel-20.md,ezekiel-20,43,43,43,0
ezekiel/ezekiel-30.md,ezekiel-30,26,26,26,0
ezekiel/ezekiel-04.md,ezekiel-04,17,17,17,0
ezekiel/ezekiel-24.md,ezekiel-24,27,27,27,0
ezekiel/ezekiel-41.md,ezekiel-41,20,20,20,0
ezekiel/ezekiel-10.md,ezekiel-10,22,22,22,0
ezekiel/ezekiel-34.md,ezekiel-34,31,31,31,0
ezekiel/ezekiel-25.md,ezekiel-25,17,17,17,0
ezekiel/ezekiel-40.md,ezekiel-40,49,49,49,0
ezekiel/ezekiel-11.md,ezekiel-11,25,25,25,0
ezekiel/ezekiel-01.md,ezekiel-01,28,28,28,0
